personIdsrc|personIddst
1664|4863
5868|7184
8956|7863
6609|6595
7194|7489
1090|6571
9741|4821
1076|1850
1751|3740
3303|6554
799|4927
8715|7128
6514|9830
4141|8034
2855|9256
5571|8135
1301|8189
1685|8604
8597|10585
7769|3127
9990|7157
10754|4196
9244|10733
8177|8135
9412|4000
6330|8223
8150|6300
2369|6500
1987|4765
9478|1191
209|2961
6801|8967
4286|7603
2400|7921
3826|2274
10538|5611
4502|8616
3994|557
2671|7559
4551|7687
2291|7323
6397|6969
449|74
1192|3068
4244|7765
1528|2791
6061|10178
17|540
9961|3781
10060|5151
4232|1242
5489|1764
376|5902
7445|4962
5329|10694
4186|7862
4924|6100
733|4910
3014|3108
7277|635
9560|5466
7932|9606
8018|4358
9435|5703
5016|8417
3576|9146
2513|633
662|9565
5128|10138
5307|2033
3320|3780
3932|3642
3088|1657
6734|3913
10384|4314
9990|3990
8824|6856
7049|9746
2125|1834
10267|1123
9710|6665
9132|8171
235|9736
2221|5381
3314|864
985|429
9779|5460
6339|9936
10418|6123
8129|588
6050|1450
7897|9764
7886|5116
8501|6460
2407|6518
7651|431
7318|6006
5751|8535
10209|9754
2558|5394
1464|10669
10348|6041
7403|3760
6725|6507
1575|7859
2408|8743
5683|8545
7595|3464
6736|7633
1490|3219
911|2417
4613|8011
121|10111
9996|576
958|6590
8971|43
10917|1884
1152|8965
9912|10450
8246|3947
2461|2312
10519|7390
4293|5985
6708|3766
10243|9779
765|5939
4895|7802
704|1240
331|4896
8011|4010
3885|6460
354|555
5425|8034
2290|6219
9907|853
8146|4102
1003|7565
8351|6507
7297|9734
7056|7123
8857|3534
7536|1050
2052|6487
1034|6214
7292|4209
9520|10341
6311|9330
6100|5970
2859|410
6055|8108
1104|2608
6195|2909
2750|9245
6780|7544
3852|10418
6539|3641
8078|3526
4010|7787
5748|6434
2800|512
1079|9530
3822|7237
5358|4482
6115|10152
9759|8804
10216|1633
4784|6745
3685|8160
285|7144
7207|9839
731|5573
1502|7270
5042|2888
486|7475
3998|9881
8479|2497
1181|770
4211|6929
6382|5592
9312|6113
6622|7754
758|2689
7685|10277
6085|6925
9450|10070
7534|9892
1903|3490
5602|10768
4823|7169
9932|9881
3189|5124
5209|4415
3183|4677
4396|4468
8884|9053
5242|9091
6988|543
9346|5140
4672|3138
3591|6627
6549|1822
1783|5614
9302|1465
8151|2422
4054|4894
9075|2380
10681|10632
1487|5991
8530|8214
8125|10236
9598|1555
2602|1274
3669|9282
6093|3017
32|4119
1782|8328
4843|9808
1467|8559
8839|2248
2529|6957
7032|943
1960|10866
422|621
393|6252
4512|10064
3196|802
7967|10915
4811|2555
3217|4048
4884|10266
8960|3822
1213|913
7012|1892
8495|1041
4862|8791
9466|4137
10779|5283
10918|2563
10162|7491
3008|2508
1166|4095
8692|4845
2705|8559
1569|2816
8359|8229
2870|10867
6842|2054
7763|7655
4075|7317
9944|9558
4150|5860
1191|7256
3585|4995
7689|7921
9933|7049
2903|1684
9826|10920
5734|10596
3450|8692
7371|4464
5333|2442
7584|3808
3908|937
3911|6068
8355|6891
5267|3893
5074|688
8022|9349
95|3180
1409|10541
6737|9860
399|4607
4309|1766
3710|9267
7236|10450
4532|10197
5098|643
5882|349
1422|9648
3625|9421
3320|2018
8308|50
9415|2997
6036|4933
7047|3583
10662|9089
7142|7468
1515|2740
10935|1094
383|3688
2118|4217
3250|3214
4760|5115
10192|2761
6967|7400
3895|1129
7371|3468
5217|7513
5899|4426
5897|6464
2934|28
681|497
824|8719
5211|7112
7459|7156
8499|791
4491|7874
8560|4498
3858|5403
5459|10673
2659|5169
3421|3341
10077|1115
6140|9830
9074|2300
8717|8974
4893|6070
9016|10716
5898|10417
5806|9344
4164|5500
4980|5401
10819|2687
5810|3023
10707|5919
4252|5545
3769|5927
8573|4519
1767|5451
3883|4293
864|8132
9904|4741
10343|1851
9287|9274
7670|1015
10327|4754
2346|5561
408|933
4956|5384
816|2262
290|10801
7563|841
2418|9846
5986|2248
359|6104
4797|8788
4728|5456
7694|445
10719|9760
7763|3071
10030|1966
3478|881
4691|5328
873|1627
2354|589
7127|6894
5534|5648
5970|9214
1539|3030
5290|1052
2467|8400
9814|10495
8550|6596
10978|9564
4962|2548
7921|9784
6287|3251
5709|7946
9018|3945
7091|9944
10726|4039
740|5067
7499|10280
3046|6403
3521|9121
4772|673
2408|9491
6175|10672
8982|9292
2114|788
290|10300
6834|5846
10874|10324
9719|1273
2348|6003
4309|195
9280|7935
1504|7577
3513|3802
838|8384
2530|9742
163|2255
9543|19
9348|1353
2310|1709
3325|7716
4991|10329
229|8574
6624|9089
4173|4159
6394|3242
6951|10718
8046|2131
5895|9649
1745|1961
1745|6630
6915|1369
3954|6959
8726|4437
9774|9716
372|1279
3990|4597
4643|2014
7389|6543
3812|2755
2906|2945
2882|2598
6711|3628
2118|5114
9728|316
9577|4563
3984|4142
3976|1698
310|2511
4404|5530
635|10156
1521|1082
1925|444
9891|9697
4926|3683
3157|8052
10859|3127
7895|2857
6251|8887
95|8771
4631|3553
2580|4285
8212|4167
4176|9049
3535|1243
6870|8180
846|760
8581|3763
3938|5946
6473|1499
3943|10507
10779|5777
10360|6072
7916|2424
7806|2526
6443|5006
5953|359
1878|5071
5257|1480
10192|4206
6696|184
5978|7655
7239|8115
2168|3134
