id|name|url
0|0_Series_Shinkansen|http://dbpedia.org/resource/0_Series_Shinkansen
1|100_Series_Shinkansen|http://dbpedia.org/resource/100_Series_Shinkansen
2|103_series|http://dbpedia.org/resource/103_series
3|10_Cane|http://dbpedia.org/resource/10_Cane
4|113_series|http://dbpedia.org/resource/113_series
5|117_series|http://dbpedia.org/resource/117_series
6|121_series|http://dbpedia.org/resource/121_series
7|125_series|http://dbpedia.org/resource/125_series
8|181_series|http://dbpedia.org/resource/181_series
9|183_series|http://dbpedia.org/resource/183_series
10|1893_from_the_makers_of_Pepsi-Cola|http://dbpedia.org/resource/1893_from_the_makers_of_Pepsi-Cola
11|1923_24_Hours_of_Le_Mans__10__1|http://dbpedia.org/resource/1923_24_Hours_of_Le_Mans__10__1
12|1923_24_Hours_of_Le_Mans__12__1|http://dbpedia.org/resource/1923_24_Hours_of_Le_Mans__12__1
13|1923_24_Hours_of_Le_Mans__15__1|http://dbpedia.org/resource/1923_24_Hours_of_Le_Mans__15__1
14|1923_24_Hours_of_Le_Mans__17__1|http://dbpedia.org/resource/1923_24_Hours_of_Le_Mans__17__1
15|1923_24_Hours_of_Le_Mans__18__1|http://dbpedia.org/resource/1923_24_Hours_of_Le_Mans__18__1
16|1923_24_Hours_of_Le_Mans__21__1|http://dbpedia.org/resource/1923_24_Hours_of_Le_Mans__21__1
17|1923_24_Hours_of_Le_Mans__22__1|http://dbpedia.org/resource/1923_24_Hours_of_Le_Mans__22__1
18|1923_24_Hours_of_Le_Mans__23__1|http://dbpedia.org/resource/1923_24_Hours_of_Le_Mans__23__1
19|1923_24_Hours_of_Le_Mans__24__1|http://dbpedia.org/resource/1923_24_Hours_of_Le_Mans__24__1
20|1923_24_Hours_of_Le_Mans__25__1|http://dbpedia.org/resource/1923_24_Hours_of_Le_Mans__25__1
21|1923_24_Hours_of_Le_Mans__28__1|http://dbpedia.org/resource/1923_24_Hours_of_Le_Mans__28__1
22|1924_24_Hours_of_Le_Mans__14__1|http://dbpedia.org/resource/1924_24_Hours_of_Le_Mans__14__1
23|1924_24_Hours_of_Le_Mans__31__1|http://dbpedia.org/resource/1924_24_Hours_of_Le_Mans__31__1
24|1924_24_Hours_of_Le_Mans__6__1|http://dbpedia.org/resource/1924_24_Hours_of_Le_Mans__6__1
25|1924_24_Hours_of_Le_Mans__9__1|http://dbpedia.org/resource/1924_24_Hours_of_Le_Mans__9__1
26|1925_24_Hours_of_Le_Mans__17__1|http://dbpedia.org/resource/1925_24_Hours_of_Le_Mans__17__1
27|1925_24_Hours_of_Le_Mans__20__1|http://dbpedia.org/resource/1925_24_Hours_of_Le_Mans__20__1
28|1925_24_Hours_of_Le_Mans__21__1|http://dbpedia.org/resource/1925_24_Hours_of_Le_Mans__21__1
29|1925_24_Hours_of_Le_Mans__25__1|http://dbpedia.org/resource/1925_24_Hours_of_Le_Mans__25__1
30|1925_24_Hours_of_Le_Mans__44__1|http://dbpedia.org/resource/1925_24_Hours_of_Le_Mans__44__1
31|1925_24_Hours_of_Le_Mans__48__1|http://dbpedia.org/resource/1925_24_Hours_of_Le_Mans__48__1
32|1925_24_Hours_of_Le_Mans__4__1|http://dbpedia.org/resource/1925_24_Hours_of_Le_Mans__4__1
33|1925_24_Hours_of_Le_Mans__5__1|http://dbpedia.org/resource/1925_24_Hours_of_Le_Mans__5__1
34|1925_24_Hours_of_Le_Mans__7__1|http://dbpedia.org/resource/1925_24_Hours_of_Le_Mans__7__1
35|1926_24_Hours_of_Le_Mans__14__1|http://dbpedia.org/resource/1926_24_Hours_of_Le_Mans__14__1
36|1926_24_Hours_of_Le_Mans__15__1|http://dbpedia.org/resource/1926_24_Hours_of_Le_Mans__15__1
37|1926_24_Hours_of_Le_Mans__21__1|http://dbpedia.org/resource/1926_24_Hours_of_Le_Mans__21__1
38|1926_24_Hours_of_Le_Mans__22__1|http://dbpedia.org/resource/1926_24_Hours_of_Le_Mans__22__1
39|1926_24_Hours_of_Le_Mans__23__1|http://dbpedia.org/resource/1926_24_Hours_of_Le_Mans__23__1
40|1926_24_Hours_of_Le_Mans__30__1|http://dbpedia.org/resource/1926_24_Hours_of_Le_Mans__30__1
41|1926_24_Hours_of_Le_Mans__4__1|http://dbpedia.org/resource/1926_24_Hours_of_Le_Mans__4__1
42|1926_24_Hours_of_Le_Mans__5__1|http://dbpedia.org/resource/1926_24_Hours_of_Le_Mans__5__1
43|1926_24_Hours_of_Le_Mans__7__1|http://dbpedia.org/resource/1926_24_Hours_of_Le_Mans__7__1
44|1928_24_Hours_of_Le_Mans__22__1|http://dbpedia.org/resource/1928_24_Hours_of_Le_Mans__22__1
45|1928_24_Hours_of_Le_Mans__24__1|http://dbpedia.org/resource/1928_24_Hours_of_Le_Mans__24__1
46|1928_24_Hours_of_Le_Mans__32__1|http://dbpedia.org/resource/1928_24_Hours_of_Le_Mans__32__1
47|1928_24_Hours_of_Le_Mans__3__1|http://dbpedia.org/resource/1928_24_Hours_of_Le_Mans__3__1
48|1928_24_Hours_of_Le_Mans__4__1|http://dbpedia.org/resource/1928_24_Hours_of_Le_Mans__4__1
49|1928_24_Hours_of_Le_Mans__8__1|http://dbpedia.org/resource/1928_24_Hours_of_Le_Mans__8__1
50|1929_24_Hours_of_Le_Mans__6__1|http://dbpedia.org/resource/1929_24_Hours_of_Le_Mans__6__1
51|1929_24_Hours_of_Le_Mans__7__1|http://dbpedia.org/resource/1929_24_Hours_of_Le_Mans__7__1
52|1930_24_Hours_of_Le_Mans__12__1|http://dbpedia.org/resource/1930_24_Hours_of_Le_Mans__12__1
53|1930_24_Hours_of_Le_Mans__7__1|http://dbpedia.org/resource/1930_24_Hours_of_Le_Mans__7__1
54|1930_24_Hours_of_Le_Mans__DNS__1|http://dbpedia.org/resource/1930_24_Hours_of_Le_Mans__DNS__1
55|1931_24_Hours_of_Le_Mans__14__1|http://dbpedia.org/resource/1931_24_Hours_of_Le_Mans__14__1
56|1931_24_Hours_of_Le_Mans__20__1|http://dbpedia.org/resource/1931_24_Hours_of_Le_Mans__20__1
57|1931_24_Hours_of_Le_Mans__21__1|http://dbpedia.org/resource/1931_24_Hours_of_Le_Mans__21__1
58|1931_24_Hours_of_Le_Mans__22__1|http://dbpedia.org/resource/1931_24_Hours_of_Le_Mans__22__1
59|1931_24_Hours_of_Le_Mans__23__1|http://dbpedia.org/resource/1931_24_Hours_of_Le_Mans__23__1
60|1931_24_Hours_of_Le_Mans__25__1|http://dbpedia.org/resource/1931_24_Hours_of_Le_Mans__25__1
61|1931_24_Hours_of_Le_Mans__26__1|http://dbpedia.org/resource/1931_24_Hours_of_Le_Mans__26__1
62|1931_24_Hours_of_Le_Mans__2__1|http://dbpedia.org/resource/1931_24_Hours_of_Le_Mans__2__1
63|1931_24_Hours_of_Le_Mans__8__1|http://dbpedia.org/resource/1931_24_Hours_of_Le_Mans__8__1
